AGILENT TECHNOLOGIES INC,a,4821144,33.8500,32.4800,33.1300,33.7300
ALCOA INC,aa,36655409,10.0300,9.7300,9.9000,9.9700
ASSET ACCEPTANCE CAPITAL CORP,aacc,93114,3.1000,2.9700,3.0900,3.0500
null,aacow,1200,0.3200,0.3000,0.3000,0.3200
ADVISORSHARES TRUST,aadr,540,27.2100,27.2100,27.2100,27.2100
ATLANTIC AMERICAN CORP,aame,18310,1.8400,1.4300,1.7800,1.8000
AARONS INC,aan,423862,27.7400,26.6800,27.3200,27.6200
AAON INC,aaon,74418,19.0200,18.4000,18.9900,18.8400
ADVANCE AUTO PARTS INC,aap,1044122,62.6700,61.6100,61.7600,62.1900
APPLE INC,aapl,20113365,401.9700,394.2100,399.2400,395.4500
