AGILENT TECHNOLOGIES INC,a,2821193,35.6400,34.8500,35.1600,35.2100
ALCOA INC,aa,21164625,9.6000,9.2100,9.5000,9.2900
ASSET ACCEPTANCE CAPITAL CORP,aacc,30408,3.3400,3.0100,3.0100,3.1400
null,aacou,8900,10.0000,9.9800,9.9800,9.9800
null,aacow,3500,0.3500,0.2500,0.3100,0.3100
ATLANTIC AMERICAN CORP,aame,11065,2.0000,1.7700,2.0000,1.9900
AARONS INC,aan,376127,24.8400,24.4000,24.4200,24.6100
AAON INC,aaon,51688,20.5200,19.7800,20.5200,19.9700
ADVANCE AUTO PARTS INC,aap,459563,67.8500,67.0700,67.3000,67.5000
APPLE INC,aapl,13667062,379.1600,370.2000,378.0000,372.2500
