AGILENT TECHNOLOGIES INC,a,2484090,37.3500,36.4800,37.0800,36.5900
ALCOA INC,aa,21319291,10.0300,9.8600,9.9500,9.9200
ASSET ACCEPTANCE CAPITAL CORP,aacc,29932,3.4600,3.4000,3.4200,3.4300
ADVISORSHARES TRUST,aadr,300,28.5100,28.5100,28.5100,28.5100
ATLANTIC AMERICAN CORP,aame,2650,1.9900,1.9000,1.9900,1.9800
AARONS INC,aan,299785,27.1300,26.6100,26.8600,26.8900
AAON INC,aaon,72474,22.1600,21.0000,21.7900,21.8200
ADVANCE AUTO PARTS INC,aap,760678,70.5400,69.7500,70.2400,70.3300
APPLE INC,aapl,10428161,394.6300,389.3800,392.3000,391.8700
null,aapr,2800,81.5000,80.1200,81.5000,81.5000
